05/09/2017,12/09/2017,19/09/2017,26/09/2017,03/10/2017,10/10/2017,17/10/2017,24/10/2017,31/10/2017,07/11/2017,14/11/2017,21/11/2017,28/11/2017,05/12/2017,12/12/2017,19/12/2017,09/01/2018,16/01/2018,23/01/2018,30/01/2018,06/02/2018,13/02/2018,20/02/2018
7H,8A,        KO CUP,6H,5A,4A,        KO CUP,3H,2H,7A,8H,MIXED DOUBLES,6A,4H,KO CUP AND SHIELD,HOUSE CHAMP CHAMP,5H,LADIES & MENS DOUBLES PRE LIM,3A,LADIES & MENS SINGLES PRE LIM,2A,Semi and Final KO CUP,BLIND DOUBLES COMP
6H,7A,,5H,8H,3A,,4H,1A,6A,7H,,5A,3H,,,8A,,4A,,1H,,
5H,6A,,8H,7A,2H,,1A,4A,5A,6H,,8A,2A,,,7H,,1H,,4H,,
8H,5A,,7H,6A,1H,,2A,3H,8A,5H,,7A,1A,,,6H,,2H,,3A,,
3A,4H,,2A,1H,6A,,7H,8H,3H,4A,,2H,6H,,,1A,,7A,,8A,,
2A,3H,,1A,4H,5H,,8A,7A,2H,3A,,1H,5A,,,4A,,8H,,7H,,
1A,2H,,4A,3H,8H,,5A,6H,1H,2A,,4H,8A,,,3A,,5H,,6A,,
4A,1H,,3A,2A,7A,,6H,5A,4H,1A,,3H,7H,,,2H,,6A,,5H,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
